Date Collected,MLVA Type,MLVA Loci Size
20/02/2008,3-16-9-12-496,162-265-312-377-496
20/02/2008,3-24-15-11-523,162-313-348-371-523
20/02/2008,3-24-15-11-523,162-313-348-371-523
20/02/2008,3-9-7-14-523,162-223-300-389-523
20/02/2008,3-9-9-12-523,162-223-312-377-523
20/02/2008,5-14-9-9-490,180-253-312-359-490
20/02/2008,5-15-17-12-490,180-259-360-377-490
20/02/2008,5-16-13-10-490,180-265-336-365-490
22/02/2008,3-18-15-12-523,162-277-348-377-523
22/02/2008,3-9-8-13-523,162-223-306-383-523
23/02/2008,3-11-7-13-523,162-235-300-383-523
23/02/2008,3-11-7-13-523,162-235-300-383-523
23/02/2008,3-12-10-12-523,162-241-318-377-523
23/02/2008,3-21-14-9-523,162-295-342-359-523
24/02/2008,3-17-16-13-523,162-271-354-383-523
24/02/2008,4-13-12-0-490,171-247-330-0-490
24/02/2008,4-16-10-0-517,171-265-318-0-517
24/02/2008,5-16-11-0-490,180-265-324-0-490
25/02/2008,3-12-12-12-526,162-241-330-377-526
25/02/2008,3-12-9-10-550,162-241-312-365-550
25/02/2008,3-17-16-13-523,162-271-354-383-523
25/02/2008,3-9-8-13-523,162-223-306-383-523
25/02/2008,4-13-9-0-517,171-247-312-0-517
26/02/2008,3-11-7-13-523,162-235-300-383-523
26/02/2008,3-12-11-10-523,162-241-324-365-523
26/02/2008,3-12-11-10-523,162-241-324-365-523
26/02/2008,3-12-11-10-523,162-241-324-365-523
26/02/2008,3-12-9-10-550,162-241-312-365-550
26/02/2008,3-16-0-0-517,162-265-0-0-517
26/02/2008,3-17-16-13-523,162-271-354-383-523
26/02/2008,3-9-8-12-523,162-223-306-377-523
27/02/2008,3-10-8-9-523,162-229-306-359-523
27/02/2008,3-11-7-13-523,162-235-300-383-523
27/02/2008,4-15-7-12-517,171-259-300-377-517
28/02/2008,3-11-7-13-523,162-235-300-383-523
28/02/2008,3-12-12-12-523,162-241-330-377-523
28/02/2008,3-12-9-10-550,162-241-312-365-550
28/02/2008,3-17-16-13-523,162-271-354-383-523
28/02/2008,3-18-16-13-523,162-277-354-383-523
28/02/2008,3-21-12-11-523,162-295-330-371-523
28/02/2008,3-25-14-11-523,162-319-342-371-523
28/02/2008,3-9-8-12-523,162-223-306-377-523
29/02/2008,3-12-12-12-523,162-241-330-377-523
29/02/2008,4-10-13-0-544,171-229-336-0-544
29/02/2008,5-14-9-9-490,180-253-312-359-490
1/03/2008,3-12-12-12-523,162-241-330-377-523
1/03/2008,3-12-12-12-523,162-241-330-377-523
1/03/2008,3-12-9-10-550,162-241-312-365-550
2/03/2008,3-12-12-12-523,162-241-330-377-523
2/03/2008,4-11-0-0-463,171-235-0-0-463
3/03/2008,3-10-14-11-523,162-229-342-371-523
3/03/2008,3-11-7-13-523,162-235-300-383-523
3/03/2008,3-14-8-13-523,162-253-306-383-523
3/03/2008,3-9-8-12-523,162-223-306-377-523
3/03/2008,3-9-8-12-523,162-223-306-377-523
3/03/2008,5-12-11-9-490,180-241-324-359-490
4/03/2008,3-12-9-10-550,162-241-312-365-550
4/03/2008,3-12-9-10-550,162-241-312-365-550
4/03/2008,3-12-9-10-550,162-241-312-365-550
4/03/2008,3-12-9-12-523,162-241-312-377-523
4/03/2008,3-17-16-13-523,162-271-354-383-523
4/03/2008,3-17-16-13-523,162-271-354-383-523
4/03/2008,3-9-7-13-523,162-223-300-383-523
4/03/2008,3-9-8-12-523,162-223-306-377-523
4/03/2008,5-16-13-10-490,180-265-336-365-490
5/03/2008,3-12-10-12-523,162-241-318-377-523
5/03/2008,3-12-9-10-550,162-241-312-365-550
5/03/2008,3-15-11-10-523,162-259-324-365-523
5/03/2008,3-25-10-11-523,162-319-318-371-523
5/03/2008,3-9-7-12-523,162-223-300-377-523
5/03/2008,3-9-8-12-523,162-223-306-377-523
5/03/2008,5-12-11-9-490,180-241-324-359-490
5/03/2008,5-15-14-10-490,180-259-342-365-490
6/03/2008,3-17-16-13-523,162-271-354-383-523
6/03/2008,3-25-13-12-523,162-319-336-377-523
7/03/2008,3-12-10-12-523,162-241-318-377-523
7/03/2008,3-13-12-10-523,162-247-330-365-523
7/03/2008,5-12-11-9-490,180-241-324-359-490
7/03/2008,5-14-9-9-490,180-253-312-359-490
8/03/2008,3-12-9-10-550,162-241-312-365-550
8/03/2008,3-17-16-13-523,162-271-354-383-523
9/03/2008,3-12-6-10-523,162-241-294-365-523
9/03/2008,3-17-16-13-523,162-271-354-383-523
9/03/2008,3-17-16-13-523,162-271-354-383-523
10/03/2008,3-12-9-10-550,162-241-312-365-550
10/03/2008,3-12-9-11-523,162-241-312-371-523
10/03/2008,3-13-8-11-523,162-247-306-371-523
10/03/2008,4-14-12-0-490,171-253-330-0-490
10/03/2008,5-14-9-9-490,180-253-312-359-490
11/03/2008,3-12-9-10-550,162-241-312-365-550
11/03/2008,3-12-9-10-550,162-241-312-365-550
11/03/2008,3-12-9-10-550,162-241-312-365-550
11/03/2008,4-13-12-0-490,171-247-330-0-490
11/03/2008,4-15-9-16-517,171-259-312-401-517
11/03/2008,5-21-8-12-457,180-295-306-377-457
12/03/2008,3-10-15-11-523,162-229-348-371-523
